id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,trimestre,ano,mes_nome,faixa_receita_item
1,2025-05-21,cliente016,Mouse,Perifericos,Sudeste,2.0,102.9,205.8,5,Q2,2025,Maio,Baixo Valor
3,2025-03-23,Cliente_045,Tablet,Celulares,Centro-Oeste,1.0,1939.76,1939.76,3,Q1,2025,Março,Medio Valor
4,2025-11-06,Cliente_017,Notebook,Computadores,Norte,6.0,3864.87,23189.22,11,Q4,2025,Novembro,Alto Valor
5,2025-07-05,Cliente_037,Tablet,Celulares,Sul,10.0,2008.14,20081.4,7,Q3,2025,Julho,Alto Valor
6,2025-08-21,Cliente_041,Headset,Perifericos,Sudeste,2.0,337.41,674.82,8,Q3,2025,Agosto,Medio Valor
7,2025-05-06,Cliente_011,Teclado,Perifericos,Nordeste,3.0,252.56,757.6800000000001,5,Q2,2025,Maio,Medio Valor
8,2025-01-17,Cliente_021,Headset,Perifericos,Sul,1.0,321.55,321.55,1,Q1,2025,Janeiro,Baixo Valor
9,2025-11-26,Cliente_030,Mouse,Perifericos,Centro-Oeste,8.0,116.24,929.92,11,Q4,2025,Novembro,Medio Valor
10,2025-03-12,Cliente_033,Teclado,Perifericos,Centro-Oeste,7.0,239.65,1677.55,3,Q1,2025,Março,Medio Valor
12,2025-06-24,Cliente_008,  Headset ,Perifericos,Norte,5.0,378.2,1891.0,6,Q2,2025,Junho,Medio Valor
13,2025-02-24,Cliente_041,Headset,Perifericos,Norte,3.0,350.81,1052.43,2,Q1,2025,Fevereiro,Medio Valor
14,2025-11-03,Cliente_021,Headset,Perifericos,Sul,9.0,393.94,3545.46,11,Q4,2025,Novembro,Medio Valor
15,2025-02-10,Cliente_006,Notebook,Computadores,Centro-Oeste,4.0,3896.91,15587.64,2,Q1,2025,Fevereiro,Alto Valor
16,2025-11-07,Cliente_028,Teclado,Perifericos,Centro-Oeste,3.0,232.38,697.14,11,Q4,2025,Novembro,Medio Valor
17,2025-09-22,Cliente_029,Mouse,Perifericos,Sul,6.0,117.77,706.62,9,Q3,2025,Setembro,Medio Valor
19,2025-10-20,cliente037,Smartphone,Celulares,Nordeste,9.0,1957.33,17615.97,10,Q4,2025,Outubro,Alto Valor
20,2025-01-28,Cliente_044,Monitor,Computadores,Sudeste,7.0,1188.13,8316.91,1,Q1,2025,Janeiro,Alto Valor
21,2025-08-18,Cliente_009,Smartphone,Celulares,Norte,4.0,1995.54,7982.16,8,Q3,2025,Agosto,Alto Valor
22,2025-10-04,Cliente_001,Notebook,Computadores,Sul,1.0,3659.75,3659.75,10,Q4,2025,Outubro,Medio Valor
24,2025-06-01,cliente014,Mouse,Perifericos,Norte,8.0,107.57,860.56,6,Q2,2025,Junho,Medio Valor
25,2025-09-18,Cliente_006,Headset,Perifericos,Norte,9.0,314.03,2826.2699999999995,9,Q3,2025,Setembro,Medio Valor
26,2025-11-14,Cliente_006,Smartphone,Celulares,Nordeste,10.0,2262.38,22623.800000000003,11,Q4,2025,Novembro,Alto Valor
27,2025-12-10,Cliente_042,Smartphone,Celulares,Norte,5.0,2131.22,10656.099999999999,12,Q4,2025,Dezembro,Alto Valor
28,2025-09-17,Cliente_017,Notebook,Computadores,Centro-Oeste,2.0,3539.52,7079.04,9,Q3,2025,Setembro,Alto Valor
29,2025-11-10,Cliente_042,Headset,Perifericos,Sul,9.0,371.37,3342.33,11,Q4,2025,Novembro,Medio Valor
30,2025-10-11,Cliente_010,Tablet,Celulares,Nordeste,2.0,2010.44,4020.88,10,Q4,2025,Outubro,Medio Valor
31,2025-01-27,Cliente_006,  Teclado ,Perifericos,Nordeste,8.0,231.33,1850.64,1,Q1,2025,Janeiro,Medio Valor
33,2025-03-07,Cliente_003,Teclado,Perifericos,Sul,9.0,223.61,2012.4900000000002,3,Q1,2025,Março,Medio Valor
34,2025-07-01,Cliente_050,Mouse,Perifericos,Sul,4.0,126.01,504.04,7,Q3,2025,Julho,Medio Valor
36,2025-02-25,Cliente_025,Tablet,Celulares,Nordeste,3.0,1955.18,5865.54,2,Q1,2025,Fevereiro,Alto Valor
37,2025-12-04,Cliente_013,Headset,Perifericos,Norte,4.0,320.91,1283.64,12,Q4,2025,Dezembro,Medio Valor
38,2025-01-15,cliente008,Monitor,Computadores,Nordeste,9.0,1139.21,10252.89,1,Q1,2025,Janeiro,Alto Valor
39,2025-09-19,Cliente_008,Mouse,Perifericos,Nordeste,6.0,117.71,706.26,9,Q3,2025,Setembro,Medio Valor
40,2025-06-19,Cliente_040,Monitor,Computadores,Centro-Oeste,2.0,1361.59,2723.18,6,Q2,2025,Junho,Medio Valor
41,2025-10-11,Cliente_009,Tablet,Celulares,Norte,7.0,1906.49,13345.43,10,Q4,2025,Outubro,Alto Valor
42,2025-01-01,Cliente_020,Tablet,Celulares,Centro-Oeste,7.0,1825.89,12781.230000000001,1,Q1,2025,Janeiro,Alto Valor
43,2025-03-28,Cliente_043,Mouse,Perifericos,Sul,4.0,120.4,481.6,3,Q1,2025,Março,Baixo Valor
46,2025-12-23,Cliente_034,Smartphone,Celulares,Centro-Oeste,3.0,2400.71,7202.13,12,Q4,2025,Dezembro,Alto Valor
47,2025-11-01,Cliente_021,Mouse,Perifericos,Norte,9.0,137.56,1238.04,11,Q4,2025,Novembro,Medio Valor
48,2025-09-01,Cliente_029,Monitor,Computadores,Sul,3.0,1287.72,3863.16,9,Q3,2025,Setembro,Medio Valor
49,2025-05-27,Cliente_016,Tablet,Celulares,Sul,8.0,1571.84,12574.72,5,Q2,2025,Maio,Alto Valor
50,2025-07-28,Cliente_022,Mouse,Perifericos,Norte,4.0,104.31,417.24,7,Q3,2025,Julho,Baixo Valor
51,2025-10-22,Cliente_025,Mouse,Perifericos,Centro-Oeste,1.0,132.84,132.84,10,Q4,2025,Outubro,Baixo Valor
52,2025-04-23,Cliente_032,  Teclado ,Perifericos,Centro-Oeste,9.0,272.49,2452.41,4,Q2,2025,Abril,Medio Valor
53,2025-03-07,cliente040,Mouse,Perifericos,Sul,3.0,132.26,396.78,3,Q1,2025,Março,Baixo Valor
54,2025-05-14,Cliente_025,Headset,Perifericos,Centro-Oeste,8.0,316.58,2532.64,5,Q2,2025,Maio,Medio Valor
55,2025-10-04,Cliente_004,Tablet,Celulares,Sudeste,2.0,1783.97,3567.94,10,Q4,2025,Outubro,Medio Valor
56,2025-11-15,Cliente_010,Smartphone,Celulares,Nordeste,4.0,2423.89,9695.56,11,Q4,2025,Novembro,Alto Valor
57,2025-11-07,Cliente_048,Headset,Perifericos,Nordeste,6.0,315.12,1890.72,11,Q4,2025,Novembro,Medio Valor
58,2025-04-12,Cliente_005,Teclado,Perifericos,Norte,7.0,242.25,1695.75,4,Q2,2025,Abril,Medio Valor
59,2025-10-17,Cliente_003,Headset,Perifericos,Centro-Oeste,2.0,381.1,762.2,10,Q4,2025,Outubro,Medio Valor
60,2025-07-05,Cliente_041,Headset,Perifericos,Nordeste,8.0,308.58,2468.64,7,Q3,2025,Julho,Medio Valor
61,2025-08-27,Cliente_028,Teclado,Perifericos,Nordeste,9.0,270.6,2435.4,8,Q3,2025,Agosto,Medio Valor
62,2025-10-19,Cliente_040,Monitor,Computadores,Nordeste,4.0,1290.17,5160.68,10,Q4,2025,Outubro,Alto Valor
63,2025-11-02,Cliente_045,Headset,Perifericos,Centro-Oeste,5.0,333.24,1666.2,11,Q4,2025,Novembro,Medio Valor
64,2025-12-20,Cliente_031,Monitor,Computadores,Sul,9.0,1292.94,11636.460000000001,12,Q4,2025,Dezembro,Alto Valor
65,2025-10-11,Cliente_034,Tablet,Celulares,Nordeste,10.0,1729.27,17292.7,10,Q4,2025,Outubro,Alto Valor
66,2025-04-09,Cliente_021,Tablet,Celulares,Centro-Oeste,4.0,1595.15,6380.6,4,Q2,2025,Abril,Alto Valor
67,2025-09-26,Cliente_039,Tablet,Celulares,Sudeste,10.0,2057.37,20573.699999999997,9,Q3,2025,Setembro,Alto Valor
68,2025-01-24,Cliente_004,Mouse,Perifericos,Sudeste,9.0,106.56,959.04,1,Q1,2025,Janeiro,Medio Valor
69,2025-08-14,Cliente_022,Teclado,Perifericos,Centro-Oeste,5.0,247.7,1238.5,8,Q3,2025,Agosto,Medio Valor
70,2025-12-18,Cliente_004,Monitor,Computadores,Norte,2.0,1227.73,2455.46,12,Q4,2025,Dezembro,Medio Valor
71,2025-11-13,Cliente_015,Headset,Perifericos,Centro-Oeste,7.0,361.16,2528.1200000000003,11,Q4,2025,Novembro,Medio Valor
